qx             qy   <SSQ(qx,qy)> sd(SSQ(qx,qy))
0              0     9.3292e-08              0
0       0.261799    3.76352e-08              0
0       0.523599    1.71037e-07              0
0       0.785398     6.3641e-07              0
0         1.0472    5.80487e-07              0
0          1.309    1.65743e-07              0
0         1.5708    1.99354e-07              0
0         1.8326    3.19544e-07              0
0         2.0944    1.60989e-07              0
0        2.35619    4.40339e-08              0
0        2.61799    3.88376e-07              0
0        2.87979    4.46474e-07              0
0        3.14159    3.09837e-07              0
0        3.40339    4.46474e-07              0
0        3.66519    3.88376e-07              0
0        3.92699    4.40339e-08              0
0        4.18879    1.60989e-07              0
0        4.45059    3.19544e-07              0
0        4.71239    1.99354e-07              0
0        4.97419    1.65743e-07              0
0        5.23599    5.80487e-07              0
0        5.49779     6.3641e-07              0
0        5.75959    1.71037e-07              0
0        6.02139    3.76352e-08              0

0.261799              0    1.04615e-06              0
0.261799       0.261799    1.05511e-07              0
0.261799       0.523599    3.36277e-07              0
0.261799       0.785398    6.06304e-07              0
0.261799         1.0472    5.68129e-07              0
0.261799          1.309    2.20378e-07              0
0.261799         1.5708    3.77287e-07              0
0.261799         1.8326    6.11619e-07              0
0.261799         2.0944    7.76545e-07              0
0.261799        2.35619    2.87281e-07              0
0.261799        2.61799    4.75291e-07              0
0.261799        2.87979    1.34437e-06              0
0.261799        3.14159    7.23484e-07              0
0.261799        3.40339    1.69124e-07              0
0.261799        3.66519    5.25407e-09              0
0.261799        3.92699    7.78267e-08              0
0.261799        4.18879    9.26452e-07              0
0.261799        4.45059    3.81633e-08              0
0.261799        4.71239    4.72194e-07              0
0.261799        4.97419    1.95592e-07              0
0.261799        5.23599    1.48549e-07              0
0.261799        5.49779    5.01583e-07              0
0.261799        5.75959    1.66279e-07              0
0.261799        6.02139     2.5798e-07              0

0.523599              0    4.78219e-07              0
0.523599       0.261799    5.48233e-07              0
0.523599       0.523599    2.15584e-07              0
0.523599       0.785398    3.91445e-07              0
0.523599         1.0472    2.39697e-08              0
0.523599          1.309    1.43279e-07              0
0.523599         1.5708    1.41619e-07              0
0.523599         1.8326    5.19375e-08              0
0.523599         2.0944    1.16731e-07              0
0.523599        2.35619    5.25153e-07              0
0.523599        2.61799    1.40594e-07              0
0.523599        2.87979    2.09477e-07              0
0.523599        3.14159    8.62383e-08              0
0.523599        3.40339    4.79709e-07              0
0.523599        3.66519     1.3554e-06              0
0.523599        3.92699    1.46468e-07              0
0.523599        4.18879    6.15299e-07              0
0.523599        4.45059    5.77078e-07              0
0.523599        4.71239    6.98606e-08              0
0.523599        4.97419    7.51378e-07              0
0.523599        5.23599     4.1377e-07              0
0.523599        5.49779    1.68906e-07              0
0.523599        5.75959    5.21969e-08              0
0.523599        6.02139    1.01126e-07              0

0.785398              0    6.13803e-08              0
0.785398       0.261799    1.56697e-07              0
0.785398       0.523599     7.2749e-07              0
0.785398       0.785398    2.90279e-07              0
0.785398         1.0472    6.19035e-08              0
0.785398          1.309    1.02101e-06              0
0.785398         1.5708    3.06203e-07              0
0.785398         1.8326    1.00891e-07              0
0.785398         2.0944    1.36988e-06              0
0.785398        2.35619    2.27147e-07              0
0.785398        2.61799    1.84611e-08              0
0.785398        2.87979    1.85692e-07              0
0.785398        3.14159    1.08744e-07              0
0.785398        3.40339    7.02212e-07              0
0.785398        3.66519    5.26383e-07              0
0.785398        3.92699    1.86348e-07              0
0.785398        4.18879    5.01212e-08              0
0.785398        4.45059    6.28153e-07              0
0.785398        4.71239    1.11861e-07              0
0.785398        4.97419    3.13221e-07              0
0.785398        5.23599    6.03651e-08              0
0.785398        5.49779     1.1909e-07              0
0.785398        5.75959    2.23158e-08              0
0.785398        6.02139    4.00196e-07              0

1.0472              0    5.68734e-07              0
1.0472       0.261799    2.28147e-07              0
1.0472       0.523599    1.33295e-07              0
1.0472       0.785398    3.03495e-08              0
1.0472         1.0472    1.76819e-07              0
1.0472          1.309    6.10273e-07              0
1.0472         1.5708    1.80215e-08              0
1.0472         1.8326    7.39214e-07              0
1.0472         2.0944    2.49159e-07              0
1.0472        2.35619    6.69875e-08              0
1.0472        2.61799    2.38473e-07              0
1.0472        2.87979     4.0282e-07              0
1.0472        3.14159     3.6583e-07              0
1.0472        3.40339    5.76554e-09              0
1.0472        3.66519    1.07555e-06              0
1.0472        3.92699    3.14254e-07              0
1.0472        4.18879    8.77132e-08              0
1.0472        4.45059    1.22344e-07              0
1.0472        4.71239    1.93629e-07              0
1.0472        4.97419    4.25408e-07              0
1.0472        5.23599    5.75657e-09              0
1.0472        5.49779     1.2371e-06              0
1.0472        5.75959    5.87582e-08              0
1.0472        6.02139    1.55688e-07              0

1.309              0    9.30602e-08              0
1.309       0.261799    4.09451e-07              0
1.309       0.523599    6.02964e-07              0
1.309       0.785398    3.18004e-07              0
1.309         1.0472    4.89898e-07              0
1.309          1.309    9.92668e-08              0
1.309         1.5708    1.21989e-06              0
1.309         1.8326    2.46054e-07              0
1.309         2.0944    7.91421e-08              0
1.309        2.35619     1.5111e-06              0
1.309        2.61799    8.11831e-08              0
1.309        2.87979    8.08055e-07              0
1.309        3.14159     1.3834e-07              0
1.309        3.40339    2.46882e-07              0
1.309        3.66519    2.47854e-07              0
1.309        3.92699     9.1539e-08              0
1.309        4.18879    2.33573e-07              0
1.309        4.45059    1.67118e-07              0
1.309        4.71239    2.81639e-07              0
1.309        4.97419    6.76254e-07              0
1.309        5.23599    1.50943e-07              0
1.309        5.49779    3.50581e-07              0
1.309        5.75959    3.67968e-07              0
1.309        6.02139    3.56063e-08              0

1.5708              0    9.86196e-07              0
1.5708       0.261799     8.7065e-08              0
1.5708       0.523599    1.87629e-07              0
1.5708       0.785398     6.3327e-08              0
1.5708         1.0472    4.61951e-07              0
1.5708          1.309    2.96449e-07              0
1.5708         1.5708    1.04927e-06              0
1.5708         1.8326    2.09984e-07              0
1.5708         2.0944    4.87122e-07              0
1.5708        2.35619    3.37647e-07              0
1.5708        2.61799    3.15823e-07              0
1.5708        2.87979    1.89982e-07              0
1.5708        3.14159    2.40024e-07              0
1.5708        3.40339    5.71546e-07              0
1.5708        3.66519    1.09861e-07              0
1.5708        3.92699    1.93846e-07              0
1.5708        4.18879    1.17239e-07              0
1.5708        4.45059    1.07137e-08              0
1.5708        4.71239       0.499898              0
1.5708        4.97419    2.18912e-07              0
1.5708        5.23599    2.79193e-07              0
1.5708        5.49779    6.62469e-07              0
1.5708        5.75959    1.41616e-08              0
1.5708        6.02139    9.11782e-07              0

1.8326              0    2.96921e-08              0
1.8326       0.261799      7.469e-08              0
1.8326       0.523599    1.73887e-07              0
1.8326       0.785398    3.42085e-07              0
1.8326         1.0472    1.16008e-07              0
1.8326          1.309    1.65202e-07              0
1.8326         1.5708     2.8044e-08              0
1.8326         1.8326    6.84938e-07              0
1.8326         2.0944    3.06206e-07              0
1.8326        2.35619    2.34507e-07              0
1.8326        2.61799    6.67154e-07              0
1.8326        2.87979    8.80094e-08              0
1.8326        3.14159    4.91642e-07              0
1.8326        3.40339    1.76154e-07              0
1.8326        3.66519    1.46764e-06              0
1.8326        3.92699    2.09541e-07              0
1.8326        4.18879    4.03648e-07              0
1.8326        4.45059    9.31858e-07              0
1.8326        4.71239    6.17364e-07              0
1.8326        4.97419    9.61452e-08              0
1.8326        5.23599    4.24063e-07              0
1.8326        5.49779    3.50801e-07              0
1.8326        5.75959    5.55307e-07              0
1.8326        6.02139    4.35412e-07              0

2.0944              0    1.69799e-07              0
2.0944       0.261799    9.18464e-08              0
