rx             ry    <SS(rx,ry)>  sd(SS(rx,ry))
0              0              1              0
0              1    2.99425e-06              0
0              2      -0.999782              0
0              3   -7.30657e-07              0
0              4       0.999792              0
0              5   -1.15456e-06              0
0              6      -0.999793              0
0              7    6.60361e-06              0
0              8       0.999792              0
0              9    8.78522e-06              0
0             10      -0.999788              0
0             11     2.8214e-06              0
0             12       0.999795              0
0             13     2.8214e-06              0
0             14      -0.999788              0
0             15    8.78522e-06              0
0             16       0.999792              0
0             17    6.60361e-06              0
0             18      -0.999793              0
0             19   -1.15456e-06              0
0             20       0.999792              0
0             21   -7.30657e-07              0
0             22      -0.999782              0
0             23    2.99425e-06              0

1              0   -5.26171e-06              0
1              1       0.999777              0
1              2   -8.81456e-06              0
1              3      -0.999791              0
1              4   -1.56084e-06              0
1              5       0.999801              0
1              6    4.78916e-06              0
1              7      -0.999791              0
1              8    8.34573e-06              0
1              9       0.999802              0
1             10    1.05004e-05              0
1             11      -0.999801              0
1             12    -6.8557e-07              0
1             13       0.999785              0
1             14   -1.19512e-05              0
1             15      -0.999777              0
1             16   -2.44249e-06              0
1             17       0.999802              0
1             18    1.10292e-06              0
1             19      -0.999796              0
1             20    9.61995e-06              0
1             21       0.999789              0
1             22   -1.48731e-05              0
1             23      -0.999802              0

2              0      -0.999787              0
2              1    9.44833e-07              0
2              2       0.999809              0
2              3    3.67867e-06              0
2              4      -0.999805              0
2              5    -2.3761e-06              0
2              6        0.99979              0
2              7   -2.11907e-06              0
2              8      -0.999791              0
2              9    3.13379e-06              0
2             10       0.999801              0
2             11    1.19412e-05              0
2             12      -0.999793              0
2             13    6.40251e-06              0
2             14       0.999784              0
2             15    7.54088e-06              0
2             16      -0.999809              0
2             17   -1.22264e-06              0
2             18       0.999812              0
2             19   -1.78262e-06              0
2             20      -0.999794              0
2             21    -2.5955e-06              0
2             22        0.99981              0
2             23    3.83901e-06              0

3              0   -3.28092e-06              0
3              1      -0.999791              0
3              2   -1.38911e-05              0
3              3       0.999782              0
3              4   -4.66178e-07              0
3              5      -0.999808              0
3              6    1.38727e-05              0
3              7       0.999798              0
3              8    3.56228e-07              0
3              9      -0.999804              0
3             10   -2.20576e-06              0
3             11       0.999784              0
