#seed=20 for mt19937_64 Generator is used
#ix   iy   n_Spin    Theta(x,y)    Phi(x,y)      Moment_Size(x,y)     Sz      Sx        Sy
0              0              0         1.5708              0              1    6.12323e-17              1              0
0              0              1        -1.5708              0              1    6.12323e-17             -1             -0
1              0              0              0              0              1              1              0              0
1              0              1        -1.5708              0              1    6.12323e-17             -1             -0
2              0              0        -1.5708              0              1    6.12323e-17             -1             -0
2              0              1         1.5708              0              1    6.12323e-17              1              0
3              0              0       -3.14159              0              1             -1   -1.22465e-16             -0
3              0              1         1.5708              0              1    6.12323e-17              1              0
0              1              0         1.5708              0              1    6.12323e-17              1              0
0              1              1       -3.14159              0              1             -1   -1.22465e-16             -0
1              1              0        3.14159              0              1             -1    1.22465e-16              0
1              1              1              0              0              1              1              0              0
2              1              0        4.71239              0              1   -1.83697e-16             -1             -0
2              1              1              0              0              1              1              0              0
3              1              0        6.28319              0              1              1   -2.44929e-16             -0
3              1              1        3.14159              0              1             -1    1.22465e-16              0
0              2              0        -1.5708              0              1    6.12323e-17             -1             -0
0              2              1       -4.71239              0              1   -1.83697e-16              1              0
1              2              0       -3.14159              0              1             -1   -1.22465e-16             -0
1              2              1         1.5708              0              1    6.12323e-17              1              0
2              2              0       -4.71239              0              1   -1.83697e-16              1              0
2              2              1        -1.5708              0              1    6.12323e-17             -1             -0
3              2              0       -6.28319              0              1              1    2.44929e-16              0
3              2              1        4.71239              0              1   -1.83697e-16             -1             -0
0              3              0        -1.5708              0              1    6.12323e-17             -1             -0
0              3              1       -6.28319              0              1              1    2.44929e-16              0
1              3              0              0              0              1              1              0              0
1              3              1        3.14159              0              1             -1    1.22465e-16              0
2              3              0         1.5708              0              1    6.12323e-17              1              0
2              3              1       -3.14159              0              1             -1   -1.22465e-16             -0
3              3              0        3.14159              0              1             -1    1.22465e-16              0
3              3              1        6.28319              0              1              1   -2.44929e-16             -0
