qx             qy   <SSQ(qx,qy)> sd(SSQ(qx,qy))
0              0      0.0967403      0.0568563
0         1.5708       0.109052      0.0477816
0        3.14159      0.0746913      0.0392725
0        4.71239       0.109052      0.0477816

1.5708              0      0.0634163      0.0279084
1.5708         1.5708       0.130298      0.0558774
1.5708        3.14159       0.106177      0.0510165
1.5708        4.71239       0.132332      0.0731254

3.14159              0      0.0792943      0.0386791
3.14159         1.5708       0.116247      0.0744387
3.14159        3.14159       0.108536      0.0515934
3.14159        4.71239       0.116247      0.0744387

4.71239              0      0.0634163      0.0279084
4.71239         1.5708       0.132332      0.0731254
4.71239        3.14159       0.106177      0.0510165
4.71239        4.71239       0.130298      0.0558774

