rx             ry          spin1          spin2<SS(rx,ry,s1,s2)>  sd(SS(rx,ry))
0              0              0              0              1              0
0              0              0              1      0.0878163     0.00936901
0              0              1              0      0.0878163     0.00936901
0              0              1              1              1              0
0              1              0              0       0.198634      0.0424869
0              1              0              1       0.182404      0.0247237
0              1              1              0       0.278392      0.0608973
0              1              1              1       0.201899      0.0414445
0              2              0              0      0.0180552      0.0316316
0              2              0              1       0.208887      0.0133324
0              2              1              0       0.208887      0.0133324
0              2              1              1       0.245943      0.0921718
0              3              0              0       0.198634      0.0424869
0              3              0              1       0.278392      0.0608973
0              3              1              0       0.182404      0.0247237
0              3              1              1       0.201899      0.0414445

1              0              0              0       0.181705     0.00276394
1              0              0              1       0.466351      0.0648466
1              0              1              0       0.261678     0.00315994
1              0              1              1      -0.119923      0.0627911
1              1              0              0       0.170614      0.0181616
1              1              0              1      0.0777626      0.0238475
1              1              1              0       0.293605      0.0373691
1              1              1              1      0.0273664      0.0802898
1              2              0              0       0.250388      0.0258174
1              2              0              1      0.0778193      0.0189818
1              2              1              0     -0.0850657      0.0364348
1              2              1              1     -0.0411271       0.116978
1              3              0              0       0.268473      0.0120333
1              3              0              1       0.247262      0.0463702
1              3              1              0       0.256329      0.0193957
1              3              1              1     -0.0404368      0.0267005

2              0              0              0        0.03111      0.0533796
2              0              0              1       0.158224      0.0618751
2              0              1              0       0.158224      0.0618751
2              0              1              1       0.512855       0.071423
2              1              0              0        0.23608      0.0159957
2              1              0              1       0.221911      0.0367788
2              1              1              0      0.0459905      0.0329166
2              1              1              1       0.304681      0.0677705
2              2              0              0     -0.0379977      0.0625716
2              2              0              1       0.290937      0.0203844
2              2              1              0       0.290937      0.0203844
2              2              1              1       0.254395      0.0588169
2              3              0              0        0.23608      0.0159957
2              3              0              1      0.0459905      0.0329166
2              3              1              0       0.221911      0.0367788
2              3              1              1       0.304681      0.0677705

3              0              0              0       0.181705     0.00276394
3              0              0              1       0.261678     0.00315994
3              0              1              0       0.466351      0.0648466
3              0              1              1      -0.119923      0.0627911
3              1              0              0       0.268473      0.0120333
3              1              0              1       0.256329      0.0193957
3              1              1              0       0.247262      0.0463702
3              1              1              1     -0.0404368      0.0267005
3              2              0              0       0.250388      0.0258174
3              2              0              1     -0.0850657      0.0364348
3              2              1              0      0.0778193      0.0189818
3              2              1              1     -0.0411271       0.116978
3              3              0              0       0.170614      0.0181616
3              3              0              1       0.293605      0.0373691
3              3              1              0      0.0777626      0.0238475
3              3              1              1      0.0273664      0.0802898

