rx             ry    <SS(rx,ry)>  sd(SS(rx,ry))
0              0        1.67431       0.305935
0              1     -0.0927145       0.168789
0              2       -0.27741       0.373399
0              3     -0.0927145       0.168789

1              0     -0.0307895        0.18356
1              1      0.0553599      0.0900592
1              2    -0.00200872        0.25994
1              3      0.0472224       0.154642

2              0      -0.054585       0.254655
2              1      0.0783282       0.120384
2              2      0.0947366       0.349465
2              3      0.0783282       0.120384

3              0     -0.0307895        0.18356
3              1      0.0472224       0.154642
3              2    -0.00200872        0.25994
3              3      0.0553599      0.0900592

