Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 12.06      0.17     0.17 270377856     0.00     0.00  void std::_Construct<std::complex<double>>(std::complex<double>*)
 10.99      0.33     0.15 271365633     0.00     0.00  std::complex<double>::complex(double, double)
  8.87      0.45     0.12 125236502     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  6.38      0.54     0.09   256130     0.00     0.00  std::complex<double>* std::__uninitialized_default_n_1<false>::__uninit_default_n<std::complex<double>*, unsigned long>(std::complex<double>*, unsigned long)
  6.38      0.63     0.09      400     0.00     0.00  Observables::ComputeDOSArray()
  5.67      0.71     0.08   128000     0.00     0.00  Hamiltonian::Get_Relative_E(int&, int&, double&, double&, double&)
  5.32      0.79     0.07 271529928     0.00     0.00  std::complex<double>* std::__addressof<std::complex<double> >(std::complex<double>&)
  4.96      0.85     0.07 10240000     0.00     0.00  Observables::Lorentzian(double, double)
  3.55      0.91     0.05 271275523     0.00     0.00  operator new(unsigned long, void*)
  3.55      0.95     0.05   128000     0.00     0.00  MCEngine::ProbCluster(double, double)
  2.84      0.99     0.04                             void std::_Construct<std::complex<double>, std::complex<double>&>(std::complex<double>*, std::complex<double>&)
  2.13      1.02     0.03 20031177     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  2.13      1.05     0.03 18090621     0.00     0.00  Matrix<double>::operator()(int, int)
  2.13      1.08     0.03   128000     0.00     0.00  Hamiltonian::E_QMCluster()
  2.13      1.11     0.03        1     0.03     1.31  MCEngine::RUN_MC()
  2.13      1.15     0.03                             operator delete(void*, void*)
  1.77      1.17     0.03   128116     0.00     0.00  std::complex<double>* std::__relocate_a_1<std::complex<double>*, std::complex<double>*, std::allocator<std::complex<double> > >(std::complex<double>*, std::complex<double>*, std::complex<double>*, std::allocator<std::complex<double> >&)
  1.42      1.19     0.02   128000     0.00     0.00  Hamiltonian::chemicalpotentialCluster(double, double)
  1.06      1.21     0.01   132312     0.00     0.00  std::complex<double>::real[abi:cxx11]() const
  1.06      1.22     0.01       23     0.00     0.00  Matrix<double>::resize(int, int)
  0.71      1.23     0.01 12600568     0.00     0.00  std::vector<Matrix<double>, std::allocator<Matrix<double> > >::operator[](unsigned long)
  0.71      1.24     0.01  1792760     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::operator[](unsigned long)
  0.71      1.25     0.01  1155355     0.00     0.00  double* std::__niter_base<double*>(double*)
  0.71      1.26     0.01   754688     0.00     0.00  std::complex<double>& std::complex<double>::operator+=<double>(std::complex<double> const&)
  0.71      1.27     0.01   691324     0.00     0.00  std::complex<double> const* std::__niter_base<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >(__gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >)
  0.71      1.28     0.01   635696     0.00     0.00  std::vector<std::vector<std::vector<std::complex<double>, std::allocator<std::complex<double> > >, std::allocator<std::vector<std::complex<double>, std::allocator<std::complex<double> > > > >, std::allocator<std::vector<std::vector<std::complex<double>, std::allocator<std::complex<double> > >, std::allocator<std::vector<std::complex<double>, std::allocator<std::complex<double> > > > > > >::operator[](unsigned long)
  0.71      1.29     0.01   635600     0.00     0.00  std::vector<std::vector<std::complex<double>, std::allocator<std::complex<double> > >, std::allocator<std::vector<std::complex<double>, std::allocator<std::complex<double> > > > >::operator[](unsigned long)
  0.71      1.30     0.01   513542     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<double>::__value, void>::__type std::__fill_a1<double*, double>(double*, double*, double const&)
  0.71      1.31     0.01   513526     0.00     0.00  double* std::__fill_n_a<double*, unsigned long, double>(double*, unsigned long, double const&, std::random_access_iterator_tag)
  0.71      1.32     0.01   513137     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  0.71      1.33     0.01   385118     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<double, void>::value, double*>::type std::__relocate_a_1<double, double>(double*, double*, double*, std::allocator<double>&)
  0.71      1.34     0.01   384024     0.00     0.00  std::remove_reference<std::complex<double>&>::type&& std::move<std::complex<double>&>(std::complex<double>&)
  0.71      1.35     0.01   256512     0.00     0.00  std::complex<double>::operator+=(double)
  0.71      1.36     0.01   256130     0.00     0.00  std::complex<double>* std::__uninitialized_default_n<std::complex<double>*, unsigned long>(std::complex<double>*, unsigned long)
  0.71      1.37     0.01   129664     0.00     0.00  Coordinates::Nbasis(int, int, int)
  0.71      1.38     0.01   128116     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::~_Vector_base()
  0.71      1.39     0.01   128001     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned long)
  0.71      1.40     0.01                             std::move_iterator<std::complex<double>*> std::__make_move_if_noexcept_iterator<std::complex<double>, std::move_iterator<std::complex<double>*> >(std::complex<double>*)
  0.35      1.41     0.01  1036988     0.00     0.00  __gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >::__normal_iterator(std::complex<double>* const&)
  0.35      1.41     0.01                             std::complex<double>* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >, std::complex<double>*, std::complex<double> >(__gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >, __gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >, std::complex<double>*, std::allocator<std::complex<double> >&)
  0.00      1.41     0.00 10656016     0.00     0.00  Matrix<std::complex<double> >::n_row()
  0.00      1.41     0.00  4696282     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long)
  0.00      1.41     0.00  2693833     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      1.41     0.00  2673504     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      1.41     0.00  2268824     0.00     0.00  std::complex<double>::operator*=(double)
  0.00      1.41     0.00  1975040     0.00     0.00  std::vector<std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > >, std::allocator<std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > > > >::operator[](unsigned long)
